Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790314234,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790314235,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790314236,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790314237,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790314238,100,GET,GET /api/v1/resumen,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,42,0,2,18.230220523827526,1.2066520002917969,60.13588299992989,746.0
1790314238,100,GET,GET /api/v1/transacciones/{usuario_id},0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,197,0,2,22.523838436549813,1.4739170001121238,67.62678799987043,10708.609137055837
1790314238,100,,Aggregated,0.000000,0.000000,2,35,49,53,59,61,63,67,68,68,68,239,0,2,21.769311439335016,1.2066520002917969,67.62678799987043,8957.857740585774
1790314239,100,GET,GET /api/v1/resumen,0.000000,0.000000,2,29,33,33,39,60,60,60,60,60,60,42,0,2,18.230220523827526,1.2066520002917969,60.13588299992989,746.0
1790314239,100,GET,GET /api/v1/transacciones/{usuario_id},0.000000,0.000000,2,29,42,50,59,63,67,68,68,68,68,197,0,2,22.523838436549813,1.4739170001121238,67.62678799987043,10708.609137055837
1790314239,100,,Aggregated,0.000000,0.000000,2,35,49,53,59,61,63,67,68,68,68,239,0,2,21.769311439335016,1.2066520002917969,67.62678799987043,8957.857740585774
1790314240,100,GET,GET /api/v1/resumen,0.000000,0.000000,2,29,33,33,39,60,60,60,60,60,60,42,0,2,18.230220523827526,1.2066520002917969,60.13588299992989,746.0
1790314240,100,GET,GET /api/v1/transacciones/{usuario_id},0.000000,0.000000,2,29,42,50,59,63,67,68,68,68,68,197,0,2,22.523838436549813,1.4739170001121238,67.62678799987043,10708.609137055837
1790314240,100,,Aggregated,0.000000,0.000000,2,35,49,53,59,61,63,67,68,68,68,239,0,2,21.769311439335016,1.2066520002917969,67.62678799987043,8957.857740585774
1790314241,100,GET,GET /api/v1/resumen,21.333333,0.000000,2,2,2,2,29,36,60,60,60,60,60,99,0,2,8.615730545448105,0.9920940001393319,60.13588299992989,746.0
1790314241,100,GET,GET /api/v1/transacciones/{usuario_id},89.333333,0.000000,2,2,2,2,29,52,61,67,68,68,68,436,0,2,11.26602160779881,1.23432700002013,67.62678799987043,10725.16743119266
1790314241,100,,Aggregated,110.666667,0.000000,2,2,2,3,52,58,61,63,68,68,68,535,0,2,10.775593915887185,0.9920940001393319,67.62678799987043,8878.555140186916
1790314242,100,GET,GET /api/v1/resumen,21.333333,0.000000,2,2,2,2,29,36,60,60,60,60,60,99,0,2,8.615730545448105,0.9920940001393319,60.13588299992989,746.0
1790314242,100,GET,GET /api/v1/transacciones/{usuario_id},89.333333,0.000000,2,2,2,2,29,52,61,67,68,68,68,436,0,2,11.26602160779881,1.23432700002013,67.62678799987043,10725.16743119266
1790314242,100,,Aggregated,110.666667,0.000000,2,2,2,3,52,58,61,63,68,68,68,535,0,2,10.775593915887185,0.9920940001393319,67.62678799987043,8878.555140186916
1790314243,100,GET,GET /api/v1/resumen,18.666667,0.000000,1,2,2,2,2,29,39,60,60,60,60,152,0,2,6.085989447363342,0.9253160001208016,60.13588299992989,746.0
1790314243,100,GET,GET /api/v1/transacciones/{usuario_id},86.666667,0.000000,2,2,2,2,3,35,59,63,68,68,68,687,0,2,7.801200799129556,1.1830130001726502,67.62678799987043,10607.572052401747
1790314243,100,,Aggregated,105.333333,0.000000,2,2,2,2,35,56,60,62,68,68,68,839,0,2,7.4904592908238765,0.9253160001208016,67.62678799987043,8820.97020262217
1790314244,100,GET,GET /api/v1/resumen,18.666667,0.000000,1,2,2,2,2,29,39,60,60,60,60,152,0,2,6.085989447363342,0.9253160001208016,60.13588299992989,746.0
1790314244,100,GET,GET /api/v1/transacciones/{usuario_id},86.666667,0.000000,2,2,2,2,3,35,59,63,68,68,68,687,0,2,7.801200799129556,1.1830130001726502,67.62678799987043,10607.572052401747
1790314244,100,,Aggregated,105.333333,0.000000,2,2,2,2,35,56,60,62,68,68,68,839,0,2,7.4904592908238765,0.9253160001208016,67.62678799987043,8820.97020262217
1790314245,100,GET,GET /api/v1/resumen,18.666667,0.000000,1,2,2,2,2,29,39,60,60,60,60,152,0,2,6.085989447363342,0.9253160001208016,60.13588299992989,746.0
1790314245,100,GET,GET /api/v1/transacciones/{usuario_id},86.666667,0.000000,2,2,2,2,3,35,59,63,68,68,68,687,0,2,7.801200799129556,1.1830130001726502,67.62678799987043,10607.572052401747
1790314245,100,,Aggregated,105.333333,0.000000,2,2,2,2,35,56,60,62,68,68,68,839,0,2,7.4904592908238765,0.9253160001208016,67.62678799987043,8820.97020262217
1790314246,100,GET,GET /api/v1/resumen,19.222222,0.000000,1,2,2,2,2,3,36,60,60,60,60,209,0,1,4.781687712924021,0.9240150002369774,60.13588299992989,746.0
1790314246,100,GET,GET /api/v1/transacciones/{usuario_id},85.444444,0.000000,2,2,2,2,2,4,53,59,68,68,68,932,0,2,6.201832048286281,1.1101869999947667,67.62678799987043,10641.317596566523
1790314246,100,,Aggregated,104.666667,0.000000,2,2,2,2,3,50,59,61,68,68,68,1141,0,2,5.941700439091967,0.9240150002369774,67.62678799987043,8828.765994741454
1790314247,100,GET,GET /api/v1/resumen,19.222222,0.000000,1,2,2,2,2,3,36,60,60,60,60,209,0,1,4.781687712924021,0.9240150002369774,60.13588299992989,746.0
1790314247,100,GET,GET /api/v1/transacciones/{usuario_id},85.444444,0.000000,2,2,2,2,2,4,53,59,68,68,68,932,0,2,6.201832048286281,1.1101869999947667,67.62678799987043,10641.317596566523
1790314247,100,,Aggregated,104.666667,0.000000,2,2,2,2,2,3,52,59,68,68,68,1141,0,2,5.941700439091967,0.9240150002369774,67.62678799987043,8828.765994741454
1790314248,100,GET,GET /api/v1/resumen,19.222222,0.000000,1,2,2,2,2,3,36,60,60,60,60,209,0,1,4.781687712924021,0.9240150002369774,60.13588299992989,746.0
1790314248,100,GET,GET /api/v1/transacciones/{usuario_id},85.444444,0.000000,2,2,2,2,2,4,53,59,68,68,68,932,0,2,6.201832048286281,1.1101869999947667,67.62678799987043,10641.317596566523
1790314248,100,,Aggregated,104.666667,0.000000,2,2,2,2,2,3,52,59,68,68,68,1141,0,2,5.941700439091967,0.9240150002369774,67.62678799987043,8828.765994741454
1790314249,100,GET,GET /api/v1/resumen,18.300000,0.000000,1,1,2,2,2,2,2,2,3,3,3,270,0,1,4.033273485194716,0.9240150002369774,60.13588299992989,746.0
